B2C/B2B 메시지 발송 웹포탈 구축 프로젝트 변경 견적서

프로젝트 개요
프로젝트명,메시지 발송 웹포탈 개발 (확장)
목표,캠페인 중심 메시지 발송 UI 및 관리 시스템 구축 (PG, 정산, 리워드 포함) + AI 기능 강화 + 추가 메시징 채널 지원
개발 기간 1차,총 10주 (기존 기능 + AI 기능 강화)
개발 기간 2차,추가 4주 (RCS, 알림톡, 친구톡플러스 확장)
개발 비용 1차,"25,000,000원 (부가세 별도)"
개발 비용 2차,"10,000,000원 (부가세 별도)"
총 비용,"35,000,000원 (부가세 별도)"

주요 개발 범위

1. 기획 및 설계
항목,내용
기획1,PC/MO 반응형 웹 흐름 정의
기획2,화면 플로우 및 와이어프레임 설계
기획3,ERD 및 API 스펙 기획
기획4,요구사항 명세서 및 구현 범위 세부 정의
기획5,AI 기능 관련 데이터 스키마 및 흐름 설계
기획6,확장 메시징 채널(RCS, 알림톡, 친구톡플러스) 연동 아키텍처 설계

2. UI/UX 디자인
항목,내용
디자인1,관리자 / 사용자 / 캠페인 관리 페이지 디자인
디자인2,반응형 웹 기준 (PC/MO 대응)
디자인3,레퍼런스 사이트 기반 UI/UX 최적화
디자인4,템플릿 그래픽 에디터 UI/UX 디자인 (글자 폰트, 크기, 위치 변경 기능)
디자인5,AI 템플릿 생성 및 캠페인 자동화 UI/UX 디자인

3. 프론트엔드
항목,내용
프론트엔드1,Next.js + TypeScript 기반 웹 애플리케이션 개발
프론트엔드2,캠페인 등록, 메시지 내용 작성, 대상자 업로드
프론트엔드3,회원가입 및 인증, 사용자 대시보드 구현
프론트엔드4,관리자 전용 기능 및 인터페이스 구현
프론트엔드5,반응형 디자인 적용 (모바일/데스크톱)
프론트엔드6,그래픽 에디터 구현 (템플릿 제작 시 글자 폰트, 크기, 위치 변경 기능)
프론트엔드7,AI 템플릿 추천 및 자동완성 UI 구현
프론트엔드8,채널 간 템플릿 자동 연동 기능 구현 (한 채널에서 작성된 템플릿이 다른 채널에 자동 적용)

4. 백엔드
항목,내용
백엔드1,Spring Boot + PostgreSQL + Java 기반 API 서버 개발
백엔드2,사용자 / 캠페인 / 결제 / 리워드 / 정산 로직 구현
백엔드3,메시지 발송 요청은 인터페이스 테이블(DB) 적재만 진행
백엔드4,관리자 API 개발 (승인, 검토, 통계 집계)
백엔드5,RESTful API 설계 및 개발
백엔드6,AI 모델 연동 및 API 개발 (GPT 등 외부 AI 서비스 연동)
백엔드7,템플릿 자동 생성 및 추천 알고리즘 개발
백엔드8,캠페인 타겟팅 자동화 및 추천 알고리즘 개발
백엔드9,사용자 행동 데이터 로깅 및 분석 시스템 (AI 고도화 기반)

5. 관리자 시스템
항목,내용
관리자1,별도 관리자 웹 콘솔 개발
관리자2,사용자 관리 및 권한 제어
관리자3,캠페인 승인/반려 프로세스
관리자4,발신번호 검수 및 승인 기능
관리자5,기업서류 검수 및 승인 기능
관리자6,통계 및 대시보드 제공
관리자7,AI 생성 템플릿 및 캠페인 검수 기능

6. PG 및 정산 연동
항목,내용
PG1,카드 결제 연동 (PG사 연동)
PG2,영업사원 포인트/리워드 적립 로직 구현
PG3,세금계산서 발행용 자료 생성 기능

7. 영업사원 리워드 시스템 (다단계)
항목,내용
리워드1,추천인 기반 고객 유입 추적 시스템
리워드2,추천 링크 생성 및 트래킹 기능 개발
리워드3,다단계 MLM(Multi-Level Marketing) 구조 구현
리워드4,직접 추천 및 간접 추천에 따른 차등 수수료 구조 설계
리워드5,계층별(레벨별) 수수료 비율 설정 기능
리워드6,매출 연동 인센티브 자동 계산 로직
리워드7,영업사원 대시보드 (직접/간접 추천 현황, 수익 현황, 조직도)
리워드8,조직도 시각화 (본인 하위 판매 조직망 확인)
리워드9,수수료 지급 주기 설정 및 자동 정산 기능
리워드10,성과 기반 인센티브 프로그램 설계
리워드11,리워드 발생 세부 내역 조회 및 통계 제공

8. AI 기능 강화 (추가)
항목,내용
AI1,회원정보 기반 템플릿 자동 추천 시스템
AI2,회원정보 기반 캠페인 타겟팅 자동 추천 시스템
AI3,템플릿 그래픽 에디터 통합 (이미지 생성 + 텍스트 편집)
AI4,채널 간 템플릿 자동 동기화 (한 채널 템플릿 작성 시 타 채널 자동 적용)
AI5,사용자 행동 데이터 수집 및 분석 (AI 고도화 기반)
AI6,캠페인 성과 예측 및 최적화 추천 기능

9. 추가 메시징 채널 지원 (2차 개발)
항목,내용
채널1,RCS 메시지 발송 및 관리 기능
채널2,카카오 알림톡 발송 및 관리 기능
채널3,카카오 친구톡플러스 발송 및 관리 기능
채널4,채널별 템플릿 관리 및 연동 시스템
채널5,통합 메시징 대시보드 및 통계

10. 배포 및 인프라
항목,내용
인프라1,Docker 컨테이너 기반 개발 환경 구성
인프라2,클라우드 환경 배포 (AWS 또는 클라이언트 요청 플랫폼)
인프라3,CI/CD 파이프라인 구축
인프라4,프로덕션 환경 설정 및 보안 강화

개발 일정

1차 개발 (10주)
주차,주요 작업 내용
1주차,요구사항 분석, 페이지 플로우 기획, ERD 설계, 개발 환경 구성, AI 기능 아키텍처 설계
2주차,"UI/UX 디자인 (PC/MO), 와이어프레임 개발, Figma 공유, 프로토타입 검토, 그래픽 에디터 UI 설계"
3주차,"Next.js 프로젝트 구조 셋업, SpringBoot 프로젝트 초기화, DB 스키마 구현, AI 서비스 연동 설계"
4주차,"사용자 인증 구현, 회원가입/로그인 페이지 개발, 관리자 인증 시스템, 회원정보 기반 AI 추천 초기 개발"
5주차,"캠페인 등록 UI, 대상자 업로드, 템플릿 관리 기능 구현, 그래픽 에디터 개발"
6주차,"관리자 화면 개발, 승인 프로세스 구현, 발송 이력 페이지 개발, AI 템플릿 추천 통합"
7주차,"결제 연동, 리워드/정산 로직 구현, 세금계산서 기능 개발, 영업사원 다단계 리워드 시스템 설계, 캠페인 타겟팅 자동화 개발"
8주차,"통계 대시보드 구현, 인터페이스 DB 적재 로직, 영업사원 다단계 리워드 시스템 구현, 조직도 시각화, AI 기능 고도화"
9주차,"통합 테스트, 성능 최적화, 버그 수정, 이력 로깅 기능 강화, Docker 컨테이너화, 채널 간 템플릿 연동 개발"
10주차,"QA, 클라이언트 검수, 클라우드 배포, 사용자 매뉴얼 작성, 1차 개발 완료"

2차 개발 (4주)
주차,주요 작업 내용
11주차,"RCS 메시지 발송 및 관리 기능 개발, API 연동, 템플릿 관리 시스템 확장"
12주차,"카카오 알림톡 발송 및 관리 기능 개발, 템플릿 등록 및 승인 프로세스 구현"
13주차,"카카오 친구톡플러스 발송 및 관리 기능 개발, 통합 메시징 대시보드 구현"
14주차,"종합 QA, 최종 배포, 사용자 매뉴얼 업데이트, 2차 개발 완료"

기술 스택
항목,내용
프론트엔드,"Next.js, TypeScript, React"
백엔드,"Spring Boot, Java, PostgreSQL"
인프라,"Docker, AWS(또는 클라이언트 선호 클라우드)"
CI/CD,Jenkins 또는 GitHub Actions
AI 서비스,"OpenAI API(또는 유사 LLM API), 이미지 생성 API"
기타,"RESTful API, JWT 인증"

관리 및 협업 방식
항목,내용
주단위 산출물 실시간 공유,매주 진행상황 및 산출물을 실시간으로 공유하여 투명한 커뮤니케이션 유지
소통 채널,"이메일, 카카오톡, 구글 미트 등을 통한 신속한 커뮤니케이션"
정기 보고,주 1회 진행상황 보고 및 이슈 논의
피드백 반영,클라이언트 피드백을 신속하게 개발에 반영
버전 관리,Git을 통한 코드 버전 관리 및 이슈 추적

특이사항 및 유의점
항목,내용
메시지 서버,"의뢰인 측에서 제공하며, 메시지 발송은 인터페이스 테이블(DB) 적재만 진행"
외부 시스템 연동,클라이언트 제공 스펙 기준으로 대응
디자인 리소스,"로고, 브랜드 컬러 등 클라이언트 제공 전제"
PG사,클라이언트 사전 계약 완료되어야 연동 가능
레퍼런스 사이트,"solapi.com, ppurio.com, findjob.co.kr 참고하여 UI/UX 구성"
영업사원 리워드 시스템,다단계(MLM) 구조로 구현하여 직접 및 간접 추천에 따른 차등 리워드 제공
추가 채널,"RCS, 알림톡, 친구톡플러스는 8월 오픈 이후 2차 개발 범위에 포함 (14주 내 전체 완료)"
AI 기능,1차 개발(10주) 내에 완료하여 8월 오픈 시점에 포함
AI 서비스 연동 비용,"별도로 발생할 수 있으며, 클라이언트 계정으로 연동 가정"

제공 예정 산출물 목록
항목,내용
산출물1,개발 소스코드 및 버전 관리 이력
산출물2,API 문서 (Swagger)
산출물3,배포 가이드 및 인프라 구성도
산출물4,영업사원 다단계 리워드 정책 및 수수료 구조 문서
산출물5,AI 기능 사용 매뉴얼 및 운영 가이드
산출물6,확장 채널 연동 가이드 및 통합 메시징 운영 매뉴얼

견적 요약 및 계약 조건

1차 개발 (10주)
항목,비용
기존 개발비,"20,000,000원"
AI 기능 고도화 추가 개발비,"5,000,000원"
소계,"25,000,000원 (부가세 별도)"

2차 개발 (4주)
항목,비용
추가 메시징 채널 개발,"10,000,000원 (부가세 별도)"

총 개발비
항목,비용
총 개발비,"35,000,000원 (부가세 별도)"

계약 및 지불 조건
항목,비용
